"Schema","Criterion","DataGenerator","Doubler","Termination","BigOh"
"JWhoisServer","NCC","avsDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"RiskIt","CondAICC","avsDefaults","DoubleAll","success","LINEAR"
"Cloc","APC","avsDefaults","DoubleChecksSemantic","success","LOGARITHMIC"
"JWhoisServer","AUCC","directedRandomDefaults","DoubleTablesColumns","success","LINEARITHMIC"
"NistWeather","AICC","directedRandomDefaults","DoubleAll","timeout","QUADRADIC"
"NistWeather","UCC","directedRandom","DoubleUniquesSemantic","success","LINEARITHMIC"
"NistXTS749","AUCC","randomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"Cloc","ClauseAICC","directedRandomDefaults","DoubleNotNullsSemantic","success","CONSTANT"
"UnixUsage","ICC","directedRandomDefaults","DoubleChecksSemantic","success","CONSTANT"
"JWhoisServer","ClauseAICC","directedRandomDefaults","DoubleTables","timeout","QUADRADIC"
"NistXTS748","ICC","directedRandomDefaults","DoubleTables","success","LOGARITHMIC"
"Cloc","ICC","directedRandomDefaults","DoubleTablesColumns","success","LINEARITHMIC"
"NistWeather","APC","directedRandom","DoubleColumns","success","LOGARITHMIC"
"BioSQL","AICC","avs","DoubleTablesColumns","timeout","POWER 4"
"JWhoisServer","ClauseAICC","directedRandom","DoubleChecksSemantic","success","CONSTANT"
"UnixUsage","CondAICC","directedRandom","DoubleNotNullsSemantic","success","LINEARITHMIC"
"NistXTS749","APC","random","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"BioSQL","ANCC","directedRandomDefaults","DoubleAll","timeout","POWER 5"
"NistWeather","AICC","avsDefaults","DoubleUniquesSemantic","success","CONSTANT"
"RiskIt","CondAICC","avs","DoubleChecksSemantic","success","CONSTANT"
"iTrust","ANCC","randomDefaults","DoubleAll","success","LINEAR"
"BioSQL","APC","random","DoubleColumns","success","LINEARITHMIC"
"Cloc","NCC","avs","DoubleForeignKeys","success","CONSTANT"
"iTrust","AICC","randomDefaults","DoubleNotNulls","success","CONSTANT"
"Cloc","AICC","randomDefaults","DoubleChecksSemantic","success","CONSTANT"
"BioSQL","AICC","directedRandom","DoubleNotNullsSemantic","success","LINEAR"
"iTrust","CondAICC","random","DoubleUniquesSemantic","success","CONSTANT"
"NistXTS748","AUCC","directedRandom","DoubleUniquesSemantic","success","LINEARITHMIC"
"NistXTS749","UCC","random","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"RiskIt","NCC","directedRandomDefaults","DoubleChecksSemantic","success","LOGARITHMIC"
"UnixUsage","ICC","avsDefaults","DoubleTablesColumns","success","LINEARITHMIC"
"NistXTS748","ICC","avs","DoubleAll","success","LINEAR"
"NistWeather","ANCC","randomDefaults","DoubleNotNulls","success","CONSTANT"
"NistXTS748","AUCC","directedRandom","DoubleNotNulls","success","LOGARITHMIC"
"BioSQL","APC","randomDefaults","DoubleColumns","success","LINEAR"
"NistXTS748","AICC","randomDefaults","DoubleAll","success","LINEARITHMIC"
"NistWeather","AICC","avs","DoubleTablesColumns","timeout","QUADRADIC"
"NistXTS748","AUCC","randomDefaults","DoubleTables","timeout","QUADRADIC"
"NistWeather","AICC","avsDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"NistXTS749","ANCC","avs","DoubleAll","success","LINEARITHMIC"
"iTrust","ClauseAICC","random","DoubleTables","timeout","CUBIC"
"JWhoisServer","CondAICC","directedRandom","DoubleTables","success","LINEARITHMIC"
"BioSQL","APC","randomDefaults","DoubleTablesColumns","timeout","POWER 4"
"iTrust","NCC","random","DoubleNotNullsSemantic","success","LINEARITHMIC"
"RiskIt","ClauseAICC","random","DoubleUniquesSemantic","success","CONSTANT"
"NistXTS748","ANCC","directedRandom","DoubleTables","success","LINEARITHMIC"
"iTrust","CondAICC","random","DoubleColumns","success","LINEARITHMIC"
"RiskIt","AICC","avsDefaults","DoubleUniquesSemantic","success","CONSTANT"
"BioSQL","APC","avs","DoubleChecksSemantic","success","CONSTANT"
"NistXTS748","ANCC","random","DoubleChecksSemantic","success","LINEARITHMIC"
"JWhoisServer","NCC","random","DoubleAll","success","QUADRADIC"
"RiskIt","ICC","directedRandomDefaults","DoubleAll","timeout","CUBIC"
"NistXTS748","AICC","avs","DoubleTables","timeout","QUADRADIC"
"RiskIt","AUCC","avsDefaults","DoubleColumns","timeout","CUBIC"
"iTrust","ANCC","directedRandomDefaults","DoubleAll","success","LINEARITHMIC"
"NistWeather","ANCC","directedRandomDefaults","DoubleTables","success","LOGARITHMIC"
"BioSQL","AUCC","directedRandom","DoubleNotNulls","success","CONSTANT"
"iTrust","NCC","random","DoubleTablesColumns","success","LINEARITHMIC"
"iTrust","ANCC","directedRandomDefaults","DoubleColumns","out of memory","QUADRADIC"
"NistWeather","APC","avs","DoubleNotNullsSemantic","success","LINEARITHMIC"
"JWhoisServer","AICC","avs","DoubleColumns","success","LINEAR"
"Cloc","AUCC","avsDefaults","DoubleTables","success","QUADRADIC"
"BioSQL","ANCC","randomDefaults","DoubleAll","success","LINEAR"
"NistXTS749","APC","randomDefaults","DoubleAll","success","LINEARITHMIC"
"JWhoisServer","NCC","directedRandom","DoubleTables","timeout","QUADRADIC"
"BioSQL","APC","randomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"BioSQL","NCC","directedRandomDefaults","DoubleUniquesSemantic","success","LINEARITHMIC"
"RiskIt","ICC","avs","DoubleChecksSemantic","success","LOGARITHMIC"
"NistWeather","AUCC","directedRandom","DoubleChecksSemantic","success","LINEAR"
"iTrust","UCC","random","DoubleTables","success","QUADRADIC"
"iTrust","NCC","directedRandomDefaults","DoubleUniquesSemantic","success","LOGARITHMIC"
"UnixUsage","ICC","randomDefaults","DoubleTablesColumns","timeout","QUADRADIC"
"RiskIt","NCC","directedRandomDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"RiskIt","AUCC","randomDefaults","DoubleChecksSemantic","success","CONSTANT"
"NistXTS749","NCC","avs","DoubleUniquesSemantic","success","LOGARITHMIC"
"iTrust","AICC","directedRandomDefaults","DoubleTables","success","QUADRADIC"
"iTrust","ClauseAICC","avsDefaults","DoubleColumns","success","LINEAR"
"Cloc","NCC","random","DoubleForeignKeys","success","CONSTANT"
"iTrust","CondAICC","directedRandom","DoubleColumns","success","LINEAR"
"iTrust","ICC","random","DoubleTablesColumns","timeout","QUADRADIC"
"iTrust","AUCC","random","DoubleChecksSemantic","KILLED","CONSTANT"
"NistXTS748","ANCC","random","DoubleAll","success","LINEARITHMIC"
"UnixUsage","NCC","random","DoubleUniquesSemantic","success","LOGARITHMIC"
"NistWeather","APC","randomDefaults","DoubleTables","timeout","QUADRADIC"
"UnixUsage","AUCC","avsDefaults","DoubleColumns","timeout","CUBIC"
"Cloc","UCC","avs","DoubleTables","timeout","QUADRADIC"
"UnixUsage","AUCC","directedRandomDefaults","DoubleNotNulls","success","CONSTANT"
"Cloc","ICC","avsDefaults","DoubleTables","success","LINEARITHMIC"
"Cloc","ClauseAICC","avsDefaults","DoubleChecksSemantic","success","CONSTANT"
"NistXTS748","AICC","randomDefaults","DoubleNotNullsSemantic","success","LOGARITHMIC"
"NistWeather","UCC","avsDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"JWhoisServer","CondAICC","directedRandomDefaults","DoubleNotNulls","success","LOGARITHMIC"
"BioSQL","UCC","avs","DoubleNotNulls","success","CONSTANT"
"NistXTS749","ICC","directedRandom","DoubleTables","success","LOGARITHMIC"
"JWhoisServer","ICC","avs","DoubleColumns","success","LINEARITHMIC"
"RiskIt","ICC","directedRandom","DoubleTables","timeout","QUADRADIC"
"iTrust","ANCC","directedRandomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"NistWeather","APC","random","DoubleTablesColumns","timeout","QUADRADIC"
"UnixUsage","APC","randomDefaults","DoubleNotNulls","success","LOGARITHMIC"
"BioSQL","NCC","directedRandomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"NistXTS749","ICC","directedRandom","DoubleTablesColumns","success","LINEARITHMIC"
"NistXTS749","AICC","random","DoubleUniquesSemantic","success","CONSTANT"
"JWhoisServer","UCC","random","DoubleChecksSemantic","success","CONSTANT"
"NistXTS749","AICC","avsDefaults","DoubleTables","timeout","QUADRADIC"
"NistXTS748","UCC","avsDefaults","DoubleAll","success","LINEARITHMIC"
"iTrust","AICC","randomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"JWhoisServer","ClauseAICC","directedRandom","DoubleNotNulls","success","LOGARITHMIC"
"BioSQL","APC","directedRandom","DoubleTables","timeout","QUADRADIC"
"NistXTS749","AUCC","avsDefaults","DoubleUniquesSemantic","success","CONSTANT"
"NistXTS749","ANCC","randomDefaults","DoubleChecksSemantic","success","LOGARITHMIC"
"RiskIt","UCC","random","DoubleAll","success","LINEARITHMIC"
"iTrust","UCC","directedRandom","DoubleTablesColumns","out of memory","LINEARITHMIC"
"Cloc","CondAICC","random","DoubleTables","success","LINEARITHMIC"
"JWhoisServer","CondAICC","avsDefaults","DoubleNotNullsSemantic","success","LOGARITHMIC"
"JWhoisServer","CondAICC","avs","DoubleChecksSemantic","success","LOGARITHMIC"
"iTrust","ANCC","random","DoubleUniquesSemantic","success","LOGARITHMIC"
"Cloc","NCC","randomDefaults","DoubleForeignKeys","success","CONSTANT"
"NistXTS748","NCC","randomDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"BioSQL","AUCC","random","DoubleChecksSemantic","success","CONSTANT"
"RiskIt","AUCC","directedRandom","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"NistXTS748","AICC","random","DoubleNotNullsSemantic","success","LINEARITHMIC"
"JWhoisServer","NCC","avsDefaults","DoubleForeignKeys","success","CONSTANT"
"NistXTS748","CondAICC","directedRandomDefaults","DoubleNotNulls","success","LOGARITHMIC"
"NistWeather","ANCC","directedRandom","DoubleChecksSemantic","success","LINEARITHMIC"
"JWhoisServer","AICC","randomDefaults","DoubleTables","success","QUADRADIC"
"Cloc","UCC","avsDefaults","DoubleTables","success","LOGARITHMIC"
"JWhoisServer","CondAICC","random","DoubleNotNulls","success","CONSTANT"
"UnixUsage","NCC","random","DoubleTablesColumns","success","LINEARITHMIC"
"NistWeather","AUCC","random","DoubleUniquesSemantic","success","CONSTANT"
"iTrust","ANCC","directedRandom","DoubleChecksSemantic","out of memory","QUADRADIC"
"UnixUsage","ClauseAICC","directedRandomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"UnixUsage","ANCC","avsDefaults","DoubleTables","timeout","QUADRADIC"
"RiskIt","APC","directedRandom","DoubleNotNulls","success","LOGARITHMIC"
"UnixUsage","AUCC","avs","DoubleTablesColumns","success","LINEARITHMIC"
"NistXTS748","AUCC","randomDefaults","DoubleChecksSemantic","success","LINEARITHMIC"
"JWhoisServer","CondAICC","avsDefaults","DoubleNotNulls","success","CONSTANT"
"NistWeather","CondAICC","directedRandom","DoubleAll","success","LINEAR"
"NistXTS748","ClauseAICC","avsDefaults","DoubleUniquesSemantic","success","LINEARITHMIC"
"UnixUsage","ANCC","avs","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"JWhoisServer","ANCC","directedRandom","DoubleUniquesSemantic","success","LOGARITHMIC"
"JWhoisServer","APC","directedRandom","DoubleForeignKeys","success","CONSTANT"
"Cloc","UCC","randomDefaults","DoubleTables","success","QUADRADIC"
"Cloc","ANCC","randomDefaults","DoubleChecksSemantic","success","CONSTANT"
"NistWeather","ICC","random","DoubleChecksSemantic","success","LINEARITHMIC"
"NistXTS749","AICC","random","DoubleChecksSemantic","success","LINEAR"
"JWhoisServer","CondAICC","directedRandom","DoubleNotNulls","success","LOGARITHMIC"
"NistXTS748","APC","directedRandom","DoubleTablesColumns","success","LOGARITHMIC"
"RiskIt","CondAICC","directedRandom","DoubleNotNulls","success","CONSTANT"
"Cloc","CondAICC","directedRandom","DoubleNotNulls","success","CONSTANT"
"RiskIt","AUCC","directedRandomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"iTrust","ANCC","avsDefaults","DoubleTables","timeout","QUADRADIC"
"NistWeather","UCC","directedRandom","DoubleAll","success","LOGARITHMIC"
"iTrust","AICC","avs","DoubleTablesColumns","timeout","QUADRADIC"
"Cloc","ICC","directedRandom","DoubleUniquesSemantic","success","CONSTANT"
"UnixUsage","UCC","directedRandomDefaults","DoubleUniquesSemantic","success","CONSTANT"
"NistWeather","AICC","random","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"BioSQL","APC","avs","DoubleTablesColumns","timeout","QUADRADIC"
"NistWeather","ICC","avs","DoubleColumns","success","LINEARITHMIC"
"iTrust","APC","avs","DoubleNotNullsSemantic","success","LINEARITHMIC"
"JWhoisServer","NCC","randomDefaults","DoubleChecksSemantic","success","LOGARITHMIC"
"NistXTS749","AUCC","directedRandom","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"RiskIt","NCC","random","DoubleNotNullsSemantic","success","LOGARITHMIC"
"NistWeather","ClauseAICC","avsDefaults","DoubleTables","timeout","POWER 5"
"NistXTS749","NCC","avs","DoubleAll","success","LINEARITHMIC"
"iTrust","ICC","random","DoubleUniquesSemantic","success","CONSTANT"
"RiskIt","NCC","avs","DoubleChecksSemantic","success","LOGARITHMIC"
"Cloc","APC","avs","DoubleChecksSemantic","success","CONSTANT"
"NistWeather","UCC","avsDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"NistXTS748","NCC","avsDefaults","DoubleChecksSemantic","success","LOGARITHMIC"
"NistXTS748","ClauseAICC","directedRandom","DoubleChecksSemantic","success","LINEAR"
"JWhoisServer","AICC","directedRandom","DoubleTablesColumns","timeout","QUADRADIC"
"NistXTS749","AUCC","avs","DoubleNotNullsSemantic","success","LOGARITHMIC"
"NistXTS749","ICC","random","DoubleTablesColumns","success","LOGARITHMIC"
"BioSQL","UCC","directedRandomDefaults","DoubleColumns","out of memory","QUADRADIC"
"NistXTS749","ClauseAICC","random","DoubleChecksSemantic","success","LINEAR"
"NistWeather","ANCC","directedRandom","DoubleTablesColumns","success","LOGARITHMIC"
"Cloc","ICC","avs","DoubleColumns","success","LOGARITHMIC"
"iTrust","NCC","directedRandomDefaults","DoubleColumns","out of memory","QUADRADIC"
"NistWeather","ClauseAICC","random","DoubleChecksSemantic","success","LINEAR"
"RiskIt","ClauseAICC","avsDefaults","DoubleTables","timeout","QUADRADIC"
"JWhoisServer","CondAICC","randomDefaults","DoubleTables","success","LINEARITHMIC"
"UnixUsage","ANCC","random","DoubleChecksSemantic","success","CONSTANT"
"RiskIt","UCC","random","DoubleChecksSemantic","success","CONSTANT"
"JWhoisServer","AUCC","randomDefaults","DoubleTablesColumns","success","LINEARITHMIC"
"NistXTS748","ClauseAICC","avsDefaults","DoubleForeignKeys","success","CONSTANT"
"BioSQL","AUCC","randomDefaults","DoubleNotNulls","success","CONSTANT"
"NistXTS748","NCC","avsDefaults","DoubleNotNulls","success","LOGARITHMIC"
"iTrust","ClauseAICC","avsDefaults","DoubleNotNullsSemantic","success","LINEAR"
"NistXTS749","APC","avs","DoubleTablesColumns","success","LOGARITHMIC"
"BioSQL","ClauseAICC","randomDefaults","DoubleColumns","timeout","LINEAR"
"iTrust","AICC","avsDefaults","DoubleTablesColumns","timeout","CUBIC"
"JWhoisServer","ICC","avs","DoubleChecksSemantic","success","LOGARITHMIC"
"UnixUsage","NCC","random","DoubleTables","timeout","QUADRADIC"
"NistWeather","NCC","directedRandomDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"NistXTS748","NCC","randomDefaults","DoubleUniquesSemantic","success","LOGARITHMIC"
"Cloc","ICC","random","DoubleForeignKeys","success","CONSTANT"
"NistXTS748","UCC","randomDefaults","DoubleNotNulls","success","LOGARITHMIC"
"NistWeather","ANCC","avsDefaults","DoubleChecksSemantic","success","LOGARITHMIC"
"NistXTS749","CondAICC","random","DoubleChecksSemantic","success","LINEAR"
"NistXTS749","ANCC","avsDefaults","DoubleTables","success","LOGARITHMIC"
"iTrust","CondAICC","directedRandom","DoubleNotNullsSemantic","success","LINEARITHMIC"
"NistXTS749","NCC","directedRandomDefaults","DoubleUniquesSemantic","success","CONSTANT"
"RiskIt","ClauseAICC","randomDefaults","DoubleChecksSemantic","success","CONSTANT"
"RiskIt","AUCC","directedRandom","DoubleUniquesSemantic","success","LOGARITHMIC"
"NistWeather","AICC","avs","DoubleAll","success","LINEAR"
"NistXTS749","AUCC","directedRandomDefaults","DoubleNotNulls","success","LOGARITHMIC"
"RiskIt","ANCC","avs","DoubleColumns","timeout","CUBIC"
"NistWeather","UCC","randomDefaults","DoubleAll","success","LINEAR"
"BioSQL","UCC","directedRandom","DoubleTables","timeout","QUADRADIC"
"RiskIt","ANCC","random","DoubleAll","success","LINEAR"
"UnixUsage","ICC","directedRandomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"UnixUsage","CondAICC","random","DoubleChecksSemantic","success","CONSTANT"
"RiskIt","ClauseAICC","avs","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"NistWeather","ICC","random","DoubleNotNullsSemantic","success","LINEARITHMIC"
"NistWeather","APC","avs","DoubleUniquesSemantic","success","LOGARITHMIC"
"UnixUsage","CondAICC","random","DoubleColumns","success","LINEARITHMIC"
"iTrust","ICC","randomDefaults","DoubleAll","success","LINEARITHMIC"
"UnixUsage","ICC","avsDefaults","DoubleColumns","success","QUADRADIC"
"RiskIt","NCC","directedRandomDefaults","DoubleColumns","out of memory","QUADRADIC"
"BioSQL","ICC","randomDefaults","DoubleUniquesSemantic","success","LINEAR"
"NistXTS749","ANCC","random","DoubleAll","success","LINEARITHMIC"
"RiskIt","UCC","avs","DoubleChecksSemantic","success","CONSTANT"
"Cloc","UCC","directedRandomDefaults","DoubleNotNulls","success","CONSTANT"
"JWhoisServer","ANCC","avs","DoubleNotNulls","success","LOGARITHMIC"
"Cloc","NCC","randomDefaults","DoubleNotNulls","success","LINEARITHMIC"
"JWhoisServer","AICC","random","DoubleColumns","success","LINEAR"
"NistWeather","APC","avs","DoubleColumns","success","LINEARITHMIC"
"NistXTS748","AUCC","directedRandomDefaults","DoubleAll","success","QUADRADIC"
"NistWeather","ClauseAICC","avs","DoubleUniquesSemantic","success","CONSTANT"
"RiskIt","ICC","directedRandom","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"Cloc","CondAICC","directedRandomDefaults","DoubleNotNullsSemantic","success","CONSTANT"
"NistXTS749","ANCC","directedRandom","DoubleUniquesSemantic","success","LOGARITHMIC"
"iTrust","ClauseAICC","avsDefaults","DoubleAll","success","LINEAR"
"NistXTS748","NCC","directedRandom","DoubleUniquesSemantic","success","LINEAR"
"RiskIt","APC","directedRandomDefaults","DoubleAll","timeout","QUADRADIC"
"UnixUsage","ClauseAICC","avsDefaults","DoubleColumns","success","LINEARITHMIC"
"iTrust","APC","randomDefaults","DoubleNotNulls","success","CONSTANT"
"NistWeather","ClauseAICC","avsDefaults","DoubleUniquesSemantic","success","CONSTANT"
"iTrust","APC","directedRandomDefaults","DoubleAll","success","QUADRADIC"
"Cloc","CondAICC","directedRandom","DoubleTables","success","LINEARITHMIC"
"NistXTS748","ICC","avsDefaults","DoubleColumns","success","LOGARITHMIC"
"BioSQL","AUCC","avsDefaults","DoubleTables","timeout","QUADRADIC"
"Cloc","APC","directedRandom","DoubleNotNullsSemantic","success","LOGARITHMIC"
"NistXTS748","AUCC","random","DoubleAll","success","LINEARITHMIC"
"JWhoisServer","CondAICC","avs","DoubleTables","timeout","QUADRADIC"
"NistXTS749","ClauseAICC","random","DoubleNotNullsSemantic","success","CONSTANT"
"NistXTS749","AUCC","avsDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"JWhoisServer","ICC","avsDefaults","DoubleNotNulls","success","CONSTANT"
"NistXTS749","ANCC","avs","DoubleNotNullsSemantic","success","LINEARITHMIC"
"RiskIt","AUCC","directedRandom","DoubleTablesColumns","success","LINEARITHMIC"
"RiskIt","UCC","directedRandomDefaults","DoubleNotNulls","success","LOGARITHMIC"
"JWhoisServer","ICC","avsDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"iTrust","AUCC","random","DoubleNotNulls","success","CONSTANT"
"NistXTS749","ANCC","random","DoubleColumns","out of memory","QUADRADIC"
"JWhoisServer","UCC","directedRandomDefaults","DoubleUniquesSemantic","success","CONSTANT"
"NistXTS749","ClauseAICC","directedRandom","DoubleTablesColumns","timeout","QUADRADIC"
"BioSQL","UCC","directedRandom","DoubleNotNullsSemantic","success","LINEARITHMIC"
"JWhoisServer","ClauseAICC","directedRandom","DoubleAll","success","LINEAR"
"BioSQL","AUCC","randomDefaults","DoubleNotNullsSemantic","out of memory","LINEARITHMIC"
"RiskIt","ClauseAICC","random","DoubleAll","success","LINEAR"
"RiskIt","APC","avs","DoubleTablesColumns","success","QUADRADIC"
"NistWeather","NCC","randomDefaults","DoubleNotNulls","success","CONSTANT"
"NistWeather","UCC","random","DoubleChecksSemantic","success","LINEARITHMIC"
"BioSQL","ANCC","random","DoubleChecksSemantic","success","CONSTANT"
"NistXTS748","APC","avsDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"Cloc","NCC","avsDefaults","DoubleNotNullsSemantic","success","CONSTANT"
"RiskIt","APC","directedRandomDefaults","DoubleTablesColumns","timeout","QUADRADIC"
"NistXTS749","ClauseAICC","directedRandom","DoubleAll","success","LINEARITHMIC"
"RiskIt","AICC","directedRandomDefaults","DoubleTables","success","QUADRADIC"
"NistWeather","APC","avs","DoubleTablesColumns","success","LOGARITHMIC"
"iTrust","APC","directedRandomDefaults","DoubleColumns","success","LINEARITHMIC"
"JWhoisServer","ANCC","randomDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"iTrust","CondAICC","random","DoubleAll","success","LINEAR"
"NistXTS748","ANCC","randomDefaults","DoubleColumns","success","QUADRADIC"
"Cloc","AUCC","directedRandomDefaults","DoubleChecksSemantic","success","CONSTANT"
"NistWeather","AICC","directedRandom","DoubleTablesColumns","success","CUBIC"
"NistWeather","ClauseAICC","directedRandom","DoubleChecksSemantic","success","LINEAR"
"NistXTS748","UCC","avs","DoubleChecksSemantic","out of memory","LINEARITHMIC"
"UnixUsage","ClauseAICC","avsDefaults","DoubleAll","success","LINEAR"
"NistXTS748","AUCC","avs","DoubleTablesColumns","success","LINEARITHMIC"
"JWhoisServer","NCC","randomDefaults","DoubleForeignKeys","success","CONSTANT"
"JWhoisServer","APC","avs","DoubleChecksSemantic","success","LOGARITHMIC"
"BioSQL","AICC","directedRandomDefaults","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"Cloc","NCC","randomDefaults","DoubleChecksSemantic","success","LOGARITHMIC"
"JWhoisServer","AUCC","directedRandomDefaults","DoubleChecksSemantic","success","CONSTANT"
"Cloc","AICC","directedRandomDefaults","DoubleColumns","success","LINEARITHMIC"
"iTrust","NCC","directedRandomDefaults","DoubleNotNullsSemantic","success","LINEARITHMIC"
"Cloc","UCC","random","DoubleNotNulls","success","CONSTANT"
"JWhoisServer","CondAICC","avs","DoubleAll","success","LINEARITHMIC"
"NistXTS749","ICC","random","DoubleNotNulls","success","LOGARITHMIC"
"RiskIt","NCC","directedRandom","DoubleUniquesSemantic","success","CONSTANT"
"NistWeather","ANCC","randomDefaults","DoubleChecksSemantic","success","LINEAR"
"Cloc","APC","directedRandomDefaults","DoubleTablesColumns","success","LINEARITHMIC"
"UnixUsage","UCC","directedRandom","DoubleAll","success","QUADRADIC"
"UnixUsage","CondAICC","random","DoubleNotNulls","success","CONSTANT"
"iTrust","UCC","directedRandom","DoubleColumns","out of memory","QUADRADIC"
"Cloc","CondAICC","randomDefaults","DoubleNotNulls","success","CONSTANT"
"UnixUsage","NCC","directedRandomDefaults","DoubleTables","timeout","QUADRADIC"
"NistXTS749","ICC","random","DoubleUniquesSemantic","success","CONSTANT"
"JWhoisServer","ClauseAICC","avs","DoubleNotNullsSemantic","success","LINEARITHMIC"
"BioSQL","AICC","randomDefaults","DoubleNotNulls","success","CONSTANT"
"JWhoisServer","AICC","avs","DoubleNotNullsSemantic","success","LINEAR"
"RiskIt","NCC","directedRandom","DoubleTablesColumns","out of memory","CUBIC"
"Cloc","ClauseAICC","random","DoubleNotNulls","success","CONSTANT"
"UnixUsage","AUCC","avs","DoubleUniquesSemantic","success","CONSTANT"
"RiskIt","CondAICC","random","DoubleTables","timeout","QUADRADIC"
"Cloc","ANCC","directedRandomDefaults","DoubleTables","success","LINEARITHMIC"
"UnixUsage","ICC","directedRandomDefaults","DoubleAll","success","LINEARITHMIC"
"BioSQL","APC","random","DoubleUniquesSemantic","success","LINEARITHMIC"
"NistWeather","ClauseAICC","random","DoubleUniquesSemantic","success","CONSTANT"
"JWhoisServer","AUCC","avsDefaults","DoubleColumns","timeout","CUBIC"
"iTrust","ANCC","random","DoubleTablesColumns","out of memory","QUADRADIC"
"NistWeather","ClauseAICC","directedRandom","DoubleUniquesSemantic","success","CONSTANT"
"NistWeather","AUCC","avsDefaults","DoubleNotNullsSemantic","success","LINEAR"
"NistXTS748","ClauseAICC","avs","DoubleUniquesSemantic","success","LINEAR"
"UnixUsage","APC","avsDefaults","DoubleUniquesSemantic","success","CONSTANT"
"UnixUsage","APC","avs","DoubleAll","timeout","CUBIC"
"BioSQL","AICC","directedRandomDefaults","DoubleAll","success","LINEARITHMIC"
"RiskIt","ANCC","randomDefaults","DoubleNotNulls","success","CONSTANT"
"NistXTS749","UCC","avsDefaults","DoubleChecksSemantic","success","LOGARITHMIC"
"JWhoisServer","ICC","directedRandomDefaults","DoubleUniquesSemantic","success","LOGARITHMIC"
"NistWeather","ICC","directedRandom","DoubleAll","timeout","CUBIC"
"iTrust","ICC","randomDefaults","DoubleUniquesSemantic","success","CONSTANT"
"Cloc","AUCC","directedRandomDefaults","DoubleUniquesSemantic","success","LOGARITHMIC"
"iTrust","ANCC","random","DoubleNotNullsSemantic","out of memory","LINEARITHMIC"
"iTrust","APC","directedRandomDefaults","DoubleUniquesSemantic","success","CONSTANT"
"NistWeather","AUCC","avs","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"NistXTS748","ICC","random","DoubleChecksSemantic","success","LINEAR"
"NistXTS748","ICC","randomDefaults","DoubleNotNulls","success","LINEARITHMIC"
"UnixUsage","AICC","directedRandom","DoubleTables","timeout","QUADRADIC"
"iTrust","AICC","directedRandom","DoubleUniquesSemantic","success","CONSTANT"
"BioSQL","AICC","directedRandom","DoubleChecksSemantic","success","CONSTANT"
"UnixUsage","AICC","randomDefaults","DoubleAll","success","LINEAR"
"NistWeather","ANCC","random","DoubleUniquesSemantic","success","CONSTANT"
"NistWeather","APC","directedRandom","DoubleNotNulls","success","CONSTANT"
"iTrust","AICC","directedRandom","DoubleForeignKeys","KILLED","INSUFFICENT DATA"
"UnixUsage","ClauseAICC","directedRandom","DoubleNotNullsSemantic","success","LINEARITHMIC"
"iTrust","CondAICC","randomDefaults","DoubleColumns","success","LINEARITHMIC"
"Cloc","ANCC","randomDefaults","DoubleAll","success","LINEARITHMIC"
"NistXTS748","ClauseAICC","avs","DoubleColumns","timeout","QUADRADIC"
"Cloc","ICC","avsDefaults","DoubleNotNulls","success","CONSTANT"
"Cloc","AICC","random","DoubleForeignKeys","success","CONSTANT"
"iTrust","AUCC","random","DoubleTables","timeout","CUBIC"
"UnixUsage","APC","random","DoubleChecksSemantic","success","CONSTANT"
"JWhoisServer","AICC","random","DoubleNotNullsSemantic","success","LINEAR"
"UnixUsage","ANCC","directedRandomDefaults","DoubleTables","timeout","QUADRADIC"
"RiskIt","ClauseAICC","avsDefaults","DoubleUniquesSemantic","success","CONSTANT"
